Latitude,Longitude,Temperature (°C),Rainfall (mm),Soil Quality,Crop Suitability,Historical Yield Trend
10.51,80.79,33,,Medium,Barley,Average
11.32,82.91,31,40,Low,Cotton,Low
12.15,78.06,35,,Low,Barley,Average
10.47,84.5,31,9,Medium,Groundnut,Low
15.59,81.59,37,74,High,Barley,No Data
17.62,83.29,36,65,Medium,Peas,Average
13.19,80.05,,54,Medium,Barley,Average
18.94,77.42,36,82,High,Wheat,Average
16.78,75.15,,56,Low,,Average
11.71,81.23,31,95,Low,Maize,High
12.96,83.73,,14,High,Barley,High
15.68,79.4,34,142,Medium,None,High
16.78,75.16,40,81,High,Peas,Low
10.79,81.17,,,Low,Peas,Average
19.16,83.97,30,38,Low,Rice,No Data
14.21,83.75,,62,High,Wheat,Low
13.86,83.17,39,6,High,Cotton,Low
18.78,80.16,38,112,High,Groundnut,Average
11.02,84.31,32,34,Low,None,Average
10.7,83.1,32,15,High,Cotton,High
13.04,79.69,28,147,Medium,Rice,No Data
15,75.32,27,108,Low,Maize,Average
17.18,80.17,,89,Medium,Wheat,High
10.67,82.28,31,87,High,Peas,Average
19.37,84.46,33,68,High,,Low
16.61,80.23,31,94,Low,Cotton,No Data
14.46,79.26,33,,Low,Rice,No Data
15.08,80.25,30,,Medium,Groundnut,Low
11.76,79.17,27,129,Medium,Maize,Average
18.62,81.26,,38,High,Rice,Low
10.56,80.89,,126,Low,Peas,Low
18.45,80.4,,123,High,Cotton,Low
17.52,79.62,37,60,Medium,None,No Data
16.89,79.98,40,92,High,Maize,Average
10.21,78.46,26,48,Medium,Wheat,Average
10.87,78.84,36,62,Low,,Low
19.79,78.36,39,,Low,,No Data
19.83,78.67,40,130,Medium,Barley,Low
19.68,78.63,27,,Low,Rice,High
18.68,79.38,32,94,High,Rice,Low
18.02,78.75,31,0,Medium,,High
10.96,76.77,34,59,Low,Cotton,Average
19.13,77.73,25,,Low,Rice,Average
12.72,84.73,34,18,Medium,Barley,High
18.1,82.13,37,,Medium,,High
10.81,84.1,30,126,High,Cotton,High
17.44,83.18,33,122,Medium,Maize,High
16.37,79.33,38,65,High,,No Data
14.05,84.45,26,20,High,Rice,High
18.07,81.07,25,111,High,Groundnut,Low
11.42,76.96,,84,Low,Maize,No Data
13.62,77.78,32,102,Medium,Barley,High
18.25,83.06,35,140,Low,Maize,Low
17.59,81.72,40,,High,Rice,No Data
16.93,75.3,32,81,Medium,Maize,High
10.75,81.84,,56,High,Groundnut,Low
18.95,81.42,35,73,Medium,Wheat,Low
17.39,75.73,37,149,High,,High
17.18,84.15,25,88,Low,,No Data
11.66,79.42,,12,High,Barley,High
19.82,79.55,28,104,Medium,Barley,Low
13.58,84.59,33,41,High,Wheat,Average
11.66,77.61,30,11,Medium,,High
13.28,84.91,29,135,High,Groundnut,High
16.05,77.63,37,87,Low,Maize,No Data
13.11,77.64,37,89,Medium,None,No Data
19.26,75.29,,106,Medium,Maize,Average
19.22,84.34,36,86,Low,Maize,Low
10.42,83.3,28,85,High,Wheat,No Data
17.41,79.59,39,89,High,Peas,Average
14.24,83.33,27,143,High,Peas,Average
12.26,84.84,38,95,Low,Barley,Average
18.89,84.18,26,0,Medium,Rice,Low
16.68,81.99,33,,Medium,Peas,High
10.24,82.81,37,53,Low,Peas,Low
10.34,82.66,37,46,High,Cotton,Low
17.01,76.79,30,101,Medium,Rice,High
19.69,80.15,39,71,High,Wheat,Average
19.68,76.32,,68,Medium,Groundnut,Average
16.7,77.47,37,131,Low,Groundnut,High
17.88,81.79,31,62,High,Maize,No Data
17.11,76.82,,120,Low,,Average
15.24,76.12,29,,Medium,None,High
19.68,83.62,30,86,Medium,Barley,High
15.31,82.85,25,92,Low,Barley,Low
11.2,76.53,30,,High,Barley,Average
16.46,84.99,40,,Medium,,Low
15.12,81.94,40,66,Medium,,Average
11.77,83.26,36,,Medium,Wheat,No Data
11.35,77.84,26,147,High,Groundnut,No Data
16.33,76.93,,77,Medium,Groundnut,High
10.87,83.13,30,134,High,Wheat,Average
14.66,77.77,25,79,Medium,Maize,High
10.11,77.87,25,85,Medium,Maize,No Data
15.17,82.49,38,,Medium,Peas,Low
12.16,81.36,37,49,Low,Maize,No Data
12.89,77.97,29,56,Low,Groundnut,Low
15.66,84.47,31,,Medium,,Average
18.83,79.45,,136,High,,High
13.22,82.4,29,74,High,,Low
15.89,83.6,37,,High,Barley,High
10.49,76.94,34,57,High,,High
11.26,84.72,34,149,Medium,Cotton,No Data
11.12,80.43,,95,Low,Maize,High
10.93,78.09,,51,High,Wheat,Average
12.82,81.97,35,94,High,Barley,Low
18.86,81.19,26,,Low,,No Data
14.27,78.51,34,96,Low,Peas,Average
10.85,78.58,36,52,High,Barley,Average
17.92,83.47,30,144,Medium,Barley,Low
19.99,80.1,35,,Medium,Cotton,Average
19.42,80.91,33,26,Medium,Barley,Average
20,76.5,,104,Medium,Barley,High
17.8,77.83,,135,Medium,Rice,High
17.07,78.89,38,75,Low,,No Data
19.32,84.74,28,34,Low,Wheat,High
15.26,75.5,36,1,High,Wheat,No Data
19.18,77.16,31,6,Low,Peas,No Data
11.71,77.95,37,,Medium,,No Data
19.51,82.32,40,,Low,Rice,Low
16.78,75.15,29,134,Medium,Cotton,Average
18.4,82.17,,126,High,Maize,Average
14.44,81.04,36,123,Medium,Cotton,Average
16.41,75.5,30,149,Medium,,No Data
17.87,80.91,26,78,High,Cotton,No Data
18.89,84.14,30,25,Low,Cotton,No Data
16.2,75.12,34,,Low,,Low
17.8,77.16,35,129,High,Wheat,High
12.61,84.89,39,26,High,,No Data
14.42,77.23,40,109,Low,Wheat,No Data
16.23,83.44,40,119,High,,Low
17.57,78.09,,,High,Rice,No Data
16.84,80.46,28,59,High,None,No Data
16.31,77.98,38,0,High,Groundnut,No Data
18.07,84.76,,,High,Peas,High
11.95,84.86,28,90,High,Wheat,High
14.02,76.54,38,91,High,None,Low
12.9,84.34,34,26,Medium,Wheat,Low
17.99,79.66,39,,Medium,Barley,Average
15.25,76.14,38,82,Low,Maize,No Data
17.14,76.32,26,97,Low,,No Data
18.38,80.03,31,109,Medium,None,Low
14.06,83.88,27,2,Medium,Wheat,No Data
17.47,77.27,30,71,High,Peas,High
15.79,78.89,35,32,Medium,Barley,No Data
12.85,83.87,37,71,Low,Maize,Average
12.21,81.06,34,19,High,,No Data
12.31,81.08,37,26,Low,Rice,No Data
18.24,76.61,32,103,Medium,Cotton,No Data
10.17,83.29,28,,Low,Barley,Average
11.6,83.68,31,,Medium,Barley,Average
15.04,83.74,25,30,Low,Maize,High
10.56,83.48,,116,Low,Rice,No Data
19.7,77.74,36,7,Low,Peas,Low
15.44,75.58,33,65,Medium,Peas,No Data
17.46,75.72,28,54,Low,None,Low
18.5,79.11,35,,Medium,Maize,Low
14.07,75.28,38,56,Low,Rice,High
13.37,76.3,36,56,Medium,,No Data
16.65,75.63,28,,High,Cotton,High
15.7,82.2,27,69,High,Barley,No Data
11.92,76.84,40,22,High,Peas,Average
11.84,84.68,31,91,High,Groundnut,High
18.64,81.18,,130,High,,High
13.4,83.33,35,71,Low,Wheat,Low
10.43,75.26,25,91,Low,,High
14.48,82.83,32,,Low,Barley,Average
12.32,84.31,29,141,Low,Barley,Average
12.14,75.39,33,54,Medium,Barley,Low
11.34,81.39,29,,Medium,Peas,Low
18.35,81.04,31,133,Medium,Rice,High
19.82,82.67,33,97,High,Rice,Average
15.73,82.7,35,100,Medium,Peas,High
12.43,78.02,33,102,High,Cotton,Average
17.52,80.48,32,48,Medium,,High
15.57,81.77,35,16,Low,Rice,High
16.01,78.41,26,,High,Wheat,Low
13.15,77.17,25,68,Medium,Cotton,Low
13.49,82.82,32,51,Low,Maize,No Data
10.88,80.39,39,78,Low,,Average
12.64,81.77,,,Medium,Cotton,Average
12.35,78.23,27,32,Low,Groundnut,Average
15.98,82.9,29,58,Low,Wheat,Average
13.04,76.67,33,64,High,Rice,Average
16.56,79.23,39,113,Medium,Maize,Average
18.11,82.3,40,,High,,High
13.82,84.87,,127,Low,Groundnut,Low
13.11,77.19,,138,High,Peas,Average
16.47,80.24,29,109,Medium,Cotton,Average
16.24,79.1,,22,Medium,,No Data
14.83,80.17,32,120,Low,Cotton,Average
14.33,81.4,,134,High,Barley,Average
16.13,75.13,,,High,,High
17.48,81.6,35,,Medium,Rice,Low
10.27,76.47,,113,Medium,,Low
17.62,81.25,26,97,High,Cotton,No Data
11.92,83,,,Low,,No Data
19.76,77.65,,6,High,Rice,Average
18.75,83.89,36,126,Low,Groundnut,High
12.35,78.17,33,88,Low,None,High
18.28,75.86,28,135,Medium,Groundnut,No Data
11.23,81.58,38,94,Low,Barley,Low
14.57,75.89,29,46,Low,None,Average
10.26,83.76,,98,High,Maize,Low
11.73,81.59,25,4,Medium,,High
